SampleID,H1.Status,Cohort,ADORA2A,ARG1,BTLA,BTN3A1,BTN3A2,C10orf54,CCL5,CD274,CD276,CD27,CD28,CD40LG,CD40,CD70,CD80,CTLA4,CX3CL1,CXCL10,CXCL9,EDNRB,ENTPD1,GZMA,HAVCR2,HLA.A,HLA.B,HLA.C,HLA.DPA1,HLA.DPB1,HLA.DQA1,HLA.DQA2,HLA.DQB1,HLA.DQB2,HLA.DRA,HLA.DRB1,HLA.DRB5,HMGB1,ICAM1,ICOSLG,ICOS,IDO1,IFNA1,IFNA2,IFNG,IL10,IL12A,IL13,IL1A,IL1B,IL2RA,IL2,IL4,ITGB2,KIR2DL1,KIR2DL3,LAG3,MICA,MICB,PDCD1LG2,PDCD1,PRF1,SELP,SLAMF7,TGFB1,TIGIT,TLR4,TNFRSF14,TNFRSF18,TNFRSF4,TNFRSF9,TNFSF4,TNFSF9,TNF,VEGFA,VEGFB,VTCN1
TCGA.2G.AAEW.01A.11R.A430.07,H1.Positive,TGCT,202.2912,0.6196,60.0997,535.6308,838.6075,1008.0639,2300.8268,134.4498,2109.3752,200.4263,206.9412,128.5638,753.4147,7.1252,171.9347,102.2314,144.9828,3530.0824,7410.5398,149.0101,1466.2125,291.8243,470.2646,19849.0073,30136.0948,16804.2423,9275.7987,5299.9253,1458.8116,2514.8933,2289.0547,314.7489,34341.0874,4059.0154,2021.5677,2600.7057,1727.4014,241.6379,107.1881,887.8645,0,0,24.4736,28.1911,2.4783,0.3098,3.7175,125.7756,116.4819,0.9294,0.3098,7836.8138,0.6196,0,547.4029,156.4451,418.5293,286.248,100.3727,297.4005,43.6807,3340.7993,1957.8868,113.0742,331.7875,936.5329,78.3774,263.0136,51.7353,16.419,33.7674,99.1335,241.3281,369.5821,0.6196
TCGA.2G.AAEX.01A.11R.A430.07,H1.Positive,TGCT,850.9046,0.489,109.5355,711.9804,833.7408,847.4328,1895.8435,23.4719,2363.3252,894.9633,182.3961,41.0758,218.0929,34.7188,39.6088,124.6944,412.7139,703.1785,2852.8117,76.7726,1215.6479,523.7164,344.2543,15590.22,26982.0929,20584.1663,4113.9364,3468.9487,2384.8411,177.5061,3221.5159,78.7286,11463.0807,7262.0929,3248.8998,4357.4572,569.6822,1361.8582,177.5061,315.8924,0,0,43.0318,31.2958,22.0049,3.423,4.401,24.4499,40.5868,0,0.489,2622.9829,22.1271,36.5526,922.2494,126.6504,455.2567,84.5966,286.5526,1220.0489,98.2885,1643.0318,1032.2738,368.2152,211.7359,560.5575,109.5355,176.5281,75.7946,47.9218,61.6137,30.8068,353.0562,371.1491,4.89
TCGA.2G.AAF1.01A.11R.A430.07,H1.Positive,TGCT,248.7542,0.3986,110.0259,843.532,739.0871,1260.5143,2148.6944,100.4584,2338.4493,526.3783,317.7198,124.3771,521.8258,15.5471,128.7622,159.8565,237.5922,2432.5294,8202.1128,120.3907,1246.5378,307.355,357.9829,22104.7957,28348.8459,17755.2003,6439.705,4499.5017,2326.4899,1067.5703,1647.9968,186.5657,18198.9237,4916.3644,1767.9171,2401.4351,1591.3893,261.5109,198.1264,934.0243,0,0,31.0943,24.716,4.7837,0,1.1959,87.3032,208.8898,0.3986,0.3986,5878.4134,2.1567,5.0189,1548.7343,298.5848,479.1708,139.9243,178.5928,842.7347,50.2292,2752.2424,1839.3462,299.3821,515.0488,926.4222,103.249,201.7142,39.0672,31.4929,30.297,90.4923,213.6735,420.5701,3.1892
TCGA.2G.AAF4.01A.11R.A430.07,H1.Positive,TGCT,333.8009,0.5028,113.6249,579.6883,468.0744,676.722,3559.0749,35.1936,3908.4967,540.0804,183.0065,35.6963,296.6315,29.1604,40.724,83.9618,134.2383,1023.63,4019.6078,146.3047,1142.2826,549.0196,300.6536,15891.3977,25586.7421,15173.4389,6040.2212,3136.7521,1696.3298,923.5797,1006.5359,192.0563,13737.5566,4342.3831,885.1031,4089.995,693.3132,262.4434,71.8954,221.7195,0,0,71.3927,48.2655,8.0442,0.5028,1.0055,27.6521,69.8844,1.0055,0.5028,2736.0483,11.7144,38.0593,1124.183,156.8627,254.902,100.553,287.0789,1376.0684,27.1493,1222.725,870.7893,343.8914,346.4052,589.7084,47.2599,68.8788,47.7627,42.735,60.8346,58.3208,195.5757,289.5928,11.5636
TCGA.2G.AAF6.01A.11R.A430.07,H1.Positive,TGCT,320.3184,0.6368,47.4447,353.7653,546.0914,699.8886,2341.3469,71.0078,2601.1782,451.4886,180.2261,37.5736,466.1678,51.5841,49.0368,106.6709,65.5947,680.1465,5793.0266,78.3315,930.1035,572.8387,451.202,22245.5023,26428.8234,9558.1213,8872.2719,7805.3272,8523.8019,160.1656,5736.6661,638.4334,25439.2613,9494.6824,1779.9713,3765.0056,1377.4877,754.9753,61.7736,178.634,0,0,46.171,25.1552,20.3789,0.3184,0.9553,37.8921,90.7499,0,0.3184,7701.3214,2.2544,4.4324,623.1492,112.4025,151.5682,191.0524,152.2051,689.3807,34.7078,2198.0576,1252.0299,258.2391,322.8785,753.3705,69.7341,180.2261,56.3605,26.7473,109.2183,49.0368,286.897,539.723,3.5026
TCGA.2G.AAF8.01A.11R.A430.07,H1.Positive,TGCT,656.3922,5.9782,81.9011,496.7867,728.7401,990.5844,2159.3185,18.5324,2223.8828,814.1922,136.9003,41.2494,269.0181,43.6407,48.4233,103.4225,182.3345,469.8849,2397.25,171.5738,1325.9543,350.9191,270.2137,17271.5469,20975.1846,13708.4203,4229.5621,2657.3009,2400.2391,249.8879,833.9561,53.2058,9983.56,4800.1734,671.3496,4612.1656,970.2586,447.1678,105.8138,139.2916,0,0,49.6189,20.3258,10.7607,0,1.7935,32.2822,47.2276,0,0,2820.5052,17.1813,9.7205,888.9553,190.1061,497.9824,54.4014,233.7468,839.3364,38.2603,1630.8474,820.2062,238.5294,201.4647,690.2287,92.6618,75.9229,17.3367,82.4989,123.7483,43.6407,448.9613,487.8195,2.9891
TCGA.2G.AAFE.01A.11R.A430.07,H1.Positive,TGCT,168.008,1.604,53.7343,427.0677,717.3935,645.614,1257.9449,59.7494,2661.0526,288.8622,138.3459,83.0075,848.5213,55.7393,49.3233,91.4286,96.2406,482.807,3457.0426,39.6992,1032.5774,203.3083,322.005,17182.5203,19607.4506,12429.4416,6108.9003,5715.4607,9300.4511,347.2682,9798.0952,521.7043,21896.7419,9034.7068,1371.0276,4311.1779,1086.3158,605.1128,69.3734,222.9574,0,0,24.0602,12.0301,2.005,2.807,32.0802,83.4085,119.0977,1.604,0.401,5760.401,1.9328,1.6762,200.5013,165.213,328.8221,109.0727,109.8747,177.6441,34.0852,2470.5764,1665.7644,128.7218,156.391,1150.7689,113.8847,254.6366,26.0652,36.4912,144.3609,89.4236,254.2356,432.2807,16.0401
TCGA.2G.AAFG.05A.11R.A430.07,H1.Positive,TGCT,703.3391,0.9569,170.8144,1006.7046,1385.1757,1239.2419,4317.7292,82.2971,2041.639,980.5944,308.1358,141.1492,911.0102,40.6701,68.8999,206.2213,394.2607,1496.6597,11433.0827,114.8332,1095.7003,942.1109,677.9945,38719.8392,39157.8131,28076.5603,11941.6982,9443.1187,9766.0871,1023.4511,3116.7651,288.04,38560.5177,15702.0365,1961.2557,4730.1718,1960.7773,779.4305,144.9769,720.5785,0,0,89.9527,47.3687,11.0049,0.9569,3.8278,136.8429,135.4075,1.4354,0.4785,9774.5704,3.8278,4.7847,738.7604,174.1637,332.5379,211.006,275.1213,1114.8392,78.4694,3582.7965,2034.4619,434.4524,307.6573,1596.5119,107.1777,375.1219,86.1249,65.0722,102.393,168.9005,472.7301,747.8514,4.3062
TCGA.2G.AAFG.01A.11R.A430.07,H1.Positive,TGCT,614.2322,1.1128,132.0475,722.5519,1021.1424,869.0653,2689.1691,111.6469,1805.2671,698.7945,249.6291,85.6825,719.5846,27.819,89.7626,151.3353,215.8754,1321.9585,11914.3175,93.1009,974.7774,740.727,663.5757,29881.3056,29043.8168,22812.6372,8866.6172,7405.2671,8986.6469,962.908,2358.6795,263.724,31771.1424,11419.3509,1449.9258,3925.816,1895.0297,856.8249,125.3709,464.0208,0,0,82.7151,38.5757,10.0148,0,1.8546,83.0861,152.4481,0,0,8864.6142,2.5556,5.6046,787.4629,156.5282,390.2077,199.184,220.6973,1111.6469,43.3976,3292.6558,1820.8457,363.5015,356.0831,1154.7626,82.3442,254.822,114.9852,37.092,99.0356,101.2611,474.4065,607.1958,8.9021
TCGA.2G.AAFH.01A.12R.A430.07,H1.Positive,TGCT,401.7764,1.0449,93.5214,807.7325,863.1139,961.3375,2698.5371,81.5047,2806.1651,1219.3574,201.6719,23.511,457.1578,39.7074,55.9039,194.3574,286.8339,940.9613,6847.9624,52.2466,1553.814,560.0836,468.652,21545.3396,36606.3898,19709.7022,9959.7701,4693.8349,6962.3824,169.8015,5772.2048,412.7482,23461.86,8075.8673,1196.4472,3979.1014,1373.5632,402.8213,99.791,167.1891,0,0,90.3866,48.5893,23.511,0,1.0449,55.9039,89.8642,0,0,5591.954,7.9781,20.2351,1009.9269,247.6489,502.0899,139.4984,224.6604,854.7544,52.7691,3111.2853,1160.9195,277.4295,409.0909,1091.5413,137.931,149.9478,45.977,42.3197,93.5214,106.0606,415.883,613.8976,3.1348
