sample_code,Treg_cluster
TCGA-S9-A7J2,1
TCGA-G3-A3CH,0
TCGA-EK-A2RE,1
TCGA-44-6778,0
TCGA-F4-6854,0
TCGA-AB-2863,1
TCGA-C8-A1HL,1
TCGA-EW-A2FS,0
TCGA-05-4420,1
TCGA-2G-AAFZ,1
TCGA-DX-A3U8,0
TCGA-GL-8500,1
TCGA-CC-A3MA,1
TCGA-BR-A4J6,0
TCGA-KK-A6E4,1
TCGA-IN-7808,0
TCGA-L5-A4OH,0
TCGA-RP-A695,0
TCGA-A4-7828,1
TCGA-B9-A8YH,0
TCGA-E1-A7YI,1
TCGA-PC-A5DM,1
TCGA-BR-A4QL,0
TCGA-CH-5751,0
TCGA-A2-A3XX,0
TCGA-DQ-5624,0
TCGA-KK-A7B3,0
TCGA-DQ-7591,0
TCGA-06-5412,1
TCGA-BP-4989,0
TCGA-EJ-8468,0
TCGA-CZ-5459,0
TCGA-D5-5538,0
TCGA-KP-A3W3,0
TCGA-CZ-5468,1
TCGA-BH-A0BQ,0
TCGA-4X-A9FA,0
TCGA-DD-AAW0,0
TCGA-BR-4292,0
TCGA-AA-3511,1
TCGA-Z7-A8R5,0
TCGA-GV-A3QK,0
TCGA-39-5031,0
TCGA-ZG-A8QW,0
TCGA-DU-7302,1
TCGA-DJ-A3UX,0
TCGA-ZN-A9VQ,1
TCGA-EI-6512,1
TCGA-J4-A83K,1
TCGA-2H-A9GF,1
TCGA-HZ-7922,0
TCGA-DD-AACA,1
TCGA-D3-A8GD,0
TCGA-13-1485,1
TCGA-QG-A5YX,1
TCGA-ZG-A9MC,0
TCGA-DU-A7TI,1
TCGA-BR-8372,0
TCGA-HC-7742,1
TCGA-DD-A3A6,1
TCGA-64-1679,0
TCGA-CV-5976,1
TCGA-25-1315,1
TCGA-R6-A8WC,1
TCGA-GE-A2C6,0
TCGA-CV-6948,0
TCGA-K7-AAU7,0
TCGA-CJ-6028,0
TCGA-E9-A1N6,0
TCGA-CZ-5456,0
TCGA-EL-A3D0,1
TCGA-EM-A22Q,1
TCGA-49-6744,0
TCGA-5P-A9KA,0
TCGA-78-7154,0
TCGA-ZN-A9VU,0
TCGA-Q3-A5QY,0
TCGA-AJ-A3BI,0
TCGA-W2-A7UY,1
TCGA-BH-A204,1
TCGA-E3-A3E2,0
TCGA-FB-A545,1
TCGA-44-2657,0
TCGA-G4-6320,1
TCGA-EB-A41A,1
TCGA-55-6982,0
TCGA-RC-A7SH,1
TCGA-CE-A484,1
TCGA-E2-A153,0
TCGA-DD-A3A5,1
TCGA-AR-A0TX,0
TCGA-CD-8528,1
TCGA-CM-6164,1
TCGA-C5-A1ME,0
TCGA-09-0369,1
TCGA-E2-A2P6,1
TCGA-VD-A8KF,1
TCGA-EL-A4JZ,0
TCGA-M7-A722,1
TCGA-CV-A6K0,0
TCGA-24-1419,1
TCGA-BH-A1EN,1
TCGA-AO-A1KT,1
TCGA-D3-A3CE,0
TCGA-12-5299,1
TCGA-29-1761,0
TCGA-33-4587,0
TCGA-BJ-A0ZJ,0
TCGA-P5-A5EX,1
TCGA-J8-A3O2,1
TCGA-DJ-A4V2,0
TCGA-HT-8563,0
TCGA-AT-A5NU,1
TCGA-E9-A3HO,0
TCGA-A6-A567,1
TCGA-58-A46N,1
TCGA-BH-A18V,0
TCGA-CG-4466,0
TCGA-A3-3383,0
TCGA-NJ-A4YI,1
TCGA-D8-A1XJ,1
TCGA-VT-A80J,0
TCGA-Q1-A73Q,0
TCGA-SC-A6LM,0
TCGA-EE-A2GB,1
TCGA-24-1845,1
TCGA-AA-3516,0
TCGA-HU-A4GP,1
TCGA-A2-A04P,0
TCGA-BA-6870,0
TCGA-73-4666,0
TCGA-MV-A51V,1
TCGA-A4-A5Y0,1
TCGA-5P-A9K4,1
TCGA-VD-A8KE,1
TCGA-56-A4BX,1
TCGA-34-7107,0
TCGA-BR-A4J9,0
TCGA-FD-A3N6,0
TCGA-CV-6955,0
TCGA-P3-A5Q6,1
TCGA-FG-A60K,1
TCGA-D7-A4Z0,0
TCGA-24-2293,0
TCGA-44-6146,0
TCGA-QK-A64Z,1
TCGA-2J-AABI,0
TCGA-AC-A2FK,0
TCGA-29-A5NZ,1
TCGA-CG-4462,0
TCGA-HC-8265,0
TCGA-DV-A4W0,1
TCGA-DD-AAVZ,1
TCGA-E9-A1RF,1
TCGA-DJ-A13R,0
TCGA-DD-A116,0
TCGA-E9-A1R4,0
TCGA-3U-A98F,1
TCGA-C5-A1MF,0
TCGA-77-8145,0
TCGA-LL-A740,0
TCGA-F5-6863,1
TCGA-06-2565,1
TCGA-33-AASD,1
TCGA-ET-A3BS,0
TCGA-DM-A1D4,0
TCGA-JY-A938,0
TCGA-29-1768,0
TCGA-IQ-A61O,0
TCGA-92-8063,0
TCGA-EL-A3T1,0
TCGA-ED-A627,0
TCGA-N6-A4VC,1
TCGA-39-5028,0
TCGA-C8-A3M8,1
TCGA-BJ-A0ZF,1
TCGA-BH-A0BM,1
TCGA-AB-2914,0
TCGA-ER-A19S,0
TCGA-RY-A83X,1
TCGA-DM-A0X9,0
TCGA-KK-A8I5,1
TCGA-AN-A0XW,0
TCGA-55-A4DG,0
TCGA-RW-A684,1
TCGA-BJ-A45C,1
TCGA-ET-A2N4,1
TCGA-BJ-A28X,0
TCGA-DX-AB2Q,1
TCGA-CV-7091,1
TCGA-EE-A3AB,0
TCGA-24-1426,1
TCGA-DD-A11B,1
TCGA-78-7146,0
TCGA-06-2561,1
TCGA-EJ-7125,0
TCGA-IN-8663,1
TCGA-ZG-A9M4,0
TCGA-ZJ-A8QQ,1
TCGA-37-4133,0
TCGA-77-8146,0
TCGA-RL-AAAS,0
TCGA-2G-AAHN,0
TCGA-L9-A5IP,0
TCGA-CJ-5672,0
TCGA-WB-A819,0
TCGA-DD-AACW,1
TCGA-CQ-5327,0
TCGA-E2-A1LL,1
TCGA-FD-A3SR,0
TCGA-KK-A8II,1
TCGA-B0-4700,1
TCGA-24-1435,0
TCGA-BH-A18K,1
TCGA-BH-A28O,0
TCGA-55-6712,0
TCGA-XV-AAZW,1
TCGA-F2-7276,0
TCGA-BJ-A0Z2,1
TCGA-DK-A6B0,1
TCGA-B0-4846,0
TCGA-ET-A2N0,0
TCGA-BJ-A290,1
TCGA-FB-A7DR,0
TCGA-YB-A89D,0
TCGA-CH-5752,1
TCGA-77-7142,0
TCGA-CR-7374,0
TCGA-KS-A4I1,1
TCGA-60-2719,0
TCGA-VR-A8Q7,0
TCGA-A7-A4SC,0
TCGA-YU-A90Y,0
TCGA-A7-A13F,0
TCGA-ET-A2MX,1
TCGA-FD-A5BS,0
TCGA-85-8351,1
TCGA-A8-A08O,1
TCGA-J7-6720,0
TCGA-E9-A24A,1
TCGA-49-AARE,0
TCGA-BC-4073,0
TCGA-AC-A6IV,0
TCGA-DK-A1AD,0
TCGA-B6-A400,0
TCGA-EM-A2OW,1
TCGA-XF-AAMQ,0
TCGA-BB-A5HY,1
TCGA-AG-3742,1
TCGA-WB-A816,1
TCGA-EA-A410,0
TCGA-EM-A1CS,1
TCGA-B0-5075,0
TCGA-W3-AA1R,0
TCGA-P3-A6T0,1
TCGA-13-0899,1
TCGA-AY-A8YK,1
TCGA-QA-A7B7,1
TCGA-DA-A1IC,0
TCGA-A5-AB3J,0
TCGA-50-8460,0
TCGA-CV-7440,0
TCGA-PG-A917,0
TCGA-IB-7889,0
TCGA-LL-A441,0
TCGA-KL-8324,1
