AS,LOH_n_seg,LOH_frac_altered,MutationsSilent,MutationsNonSilent,CNV_segs,CNV_frac,HRD,purity,Treg_cluster,Study Abbreviation_BRCA
19,51,0.157576402746089,0.2069599148,0.45991092170000003,313.0,0.9998649382904372,15,0.81,1,1
22,89,0.18594037200618507,3.0502960016000005,9.4581120625,298.0,0.7296934253023086,32,0.64,0,1
13,133,0.1359763490286086,0.1486985531,0.531066261,483.0,0.5852082988324235,31,0.53,0,1
4,18,0.030413949007338726,0.1248882999,1.0240840592,104.0,0.095868136463929,7,0.61,0,1
7,39,0.06039923799614584,0.1018158423,0.35635544799999996,109.0,0.23680294965282506,16,0.47,0,1
3,44,0.04412667577147755,1.3638421297999999,2.8156740745,101.0,0.07022695216972101,9,0.53,0,1
14,64,0.1501605830871488,0.3158998154,0.5866710857,216.0,0.41386592140718975,15,0.83,1,1
0,2,0.000806390863909578,0.0968730885,0.41978338340000004,65.0,0.00080166510216155,0,0.77,1,1
11,26,0.22175024519023773,0.22261142739999998,0.8069664243000001,119.0,0.2914986670344897,25,0.51,0,1
10,12,0.16681852184649354,0.28183155460000003,0.6661473109,111.0,0.2465764737310181,15,0.47,0,1
14,21,0.1103783806754913,0.4142020054,1.2426060163,121.0,0.3947512758840627,23,0.44,0,1
4,16,0.0447987935818295,0.2113595811,0.7850498726,89.0,0.12925576427223098,12,0.64,0,1
2,11,0.08417822837348674,0.7479331062000001,2.2953809121,135.0,0.1824998418922528,32,0.44,1,1
15,13,0.2450303593214955,1.9322795788,4.9514664206,57.0,0.3858656999520598,13,0.54,0,1
24,76,0.17180905771579771,0.21329369480000002,0.7998513556,417.0,0.787482186184291,22,0.61,0,1
16,34,0.21106972274277955,0.4940414078,1.5644644579,314.0,0.8400316386102663,33,0.95,1,1
3,13,0.08457575742498367,0.2141002576,0.48937201729999996,117.0,0.18079124234719496,14,0.6,1,1
18,30,0.18255533922721587,0.3906855046,1.4425310938999998,216.0,0.6574112223176801,10,0.51,0,1
13,41,0.30010035287737397,0.3657348325,1.3785389839,327.0,0.5967311764425733,19,0.63,0,1
3,21,0.06403080802375953,0.28970498570000003,0.7403571856000001,144.0,0.10944553181030868,8,0.81,1,1
3,3,0.0267984227931948,0.3458999863,1.06430765,63.0,0.08617808829673873,7,0.72,1,1
9,111,0.4103730552563393,0.7648706910999999,3.1960668163999997,467.0,0.7482038995353704,83,0.6,0,1
11,16,0.41652218860336815,0.41353122700000006,0.8821999508,97.0,0.212835541826102,16,0.2,0,1
5,22,0.2074912881488446,0.5840169251,2.0301540731,185.0,0.5295740931551484,36,0.88,1,1
14,103,0.5478801092806679,0.6789894769,2.2350070282,414.0,0.8638740520486273,77,0.61,0,1
21,559,0.5174715763421572,0.382546324,1.2842626590000001,1602.0,0.8101520657483712,59,0.82,1,1
6,18,0.07092973226969157,0.2567136905,0.6845698414,198.0,0.11340540107912918,10,0.84,1,1
17,43,0.21683857373467494,1.0700120123,3.2945106694,394.0,0.4661552452196828,22,0.3,1,1
8,50,0.17829766050950366,0.3478915976,0.6957831952,247.0,0.256104393968067,18,0.59,0,1
4,25,0.0569700824137408,0.2470954818,1.1531122486,287.0,0.16666325450112854,20,0.6,0,1
4,7,0.053198917343901635,0.236113972,0.2597253692,81.0,0.1005204481037682,7,0.69,0,1
25,70,0.3966320576379245,1.0186765772,2.7611496698,287.0,0.2953317697401655,38,0.14,0,1
24,48,0.29098638165060997,0.4571562714,1.4857578821000001,386.0,0.7202012779607874,40,0.38,0,1
8,8,0.14206892779732844,0.0,0.0,62.0,0.1808548706397106,13,0.63,0,1
5,4,0.04080327497619824,0.1678990316,0.9794110175,109.0,0.08700564702637417,5,0.47,1,1
5,4,0.07875226100022609,0.3272127194,0.8180317986,47.0,0.11975934265071662,4,0.8,1,1
6,4,0.12616845287329226,0.7670918326,2.4140831202,57.0,0.08904092352900872,2,0.23,0,1
17,4,0.13351724330190584,0.34335482170000003,0.8187691901999999,67.0,0.8528352659285905,3,0.54,1,1
25,33,0.2821521235956116,0.8632663258,2.1293902704,168.0,0.9144743697777676,30,0.8,1,1
20,32,0.18095557518525693,0.3901419055,1.1425584375,171.0,0.5461074361189663,21,0.57,1,1
24,6,0.2041255645138499,0.1094509829,0.5472549146,73.0,0.6144774764093518,3,0.46,0,1
