ADORA2A,ARG1,BTLA,BTN3A1,BTN3A2,C10orf54,CCL5,CD274,CD276,CD27,CD28,CD40LG,CD40,CD70,CD80,CTLA4,CX3CL1,CXCL10,CXCL9,EDNRB,ENTPD1,GZMA,HAVCR2,HLA.A,HLA.B,HLA.C,HLA.DPA1,HLA.DPB1,HLA.DQA1,HLA.DQA2,HLA.DQB1,HLA.DQB2,HLA.DRA,HLA.DRB1,HLA.DRB5,HMGB1,ICAM1,ICOSLG,ICOS,IDO1,IFNA1,IFNA2,IFNG,IL10,IL12A,IL13,IL1A,IL1B,IL2RA,IL2,IL4,ITGB2,KIR2DL1,KIR2DL3,LAG3,MICA,MICB,PDCD1LG2,PDCD1,PRF1,SELP,SLAMF7,TGFB1,TIGIT,TLR4,TNFRSF14,TNFRSF18,TNFRSF4,TNFRSF9,TNFSF4,TNFSF9,TNF,VEGFA,VEGFB,VTCN1,Virus_HPV
632.9309,0.5438,30.4513,803.1539,593.8009999999999,556.2806,1305.0571,34.2577,3567.1561,255.155,70.1468,31.5389,326.2643,9.2442,28.2762,66.3404,696.5742,1528.5481,12052.7461,69.60300000000001,774.8613,172.3763,275.6933,30149.9891,30362.0174,19627.6509,5800.435,4330.6145,2056.5525,424.6873,1352.9092,157.6944,13037.5204,4467.0636,650.8972,3154.9755,1417.6183,150.6253,48.3959,1010.8755,0.0,0.0,20.1196,11.4192,19.0321,1.0875,2.1751,23.926,60.9027,1.6313,0.0,2062.534,0.0,1.0875,333.3333,591.0821,264.8178,97.3355,84.8287,191.9521,47.3083,660.1414,1154.9755,105.4921,221.8597,1033.0288,110.9299,138.1185,32.6264,221.3159,11.4192,18.4883,2223.491,1982.5992,759.1082,13.097000000000001
81.2681,0.0,9.3617,691.4894,952.3404,469.7872,325.1064,17.4468,3267.6596,106.8468,111.9149,20.8511,163.8298,11.9149,25.1064,37.0213,1126.8085,262.9787,392.76599999999996,136.1702,2296.5957,69.3617,325.1064,14428.7702,20751.8043,11650.7489,5760.4255,3711.0638,1540.4255,544.2553,1303.8298,142.1277,11367.233999999999,3809.7447,1052.7277,5810.2128,970.2128,440.0,17.8723,31.9149,0.0,0.0,0.0,6.8085,3.4043,0.0,0.8511,34.8936,40.0,0.0,0.0,1839.8,0.0,0.0,29.7872,784.2553,176.1702,57.8723,15.7447,42.9787,51.9149,119.5745,1414.0426,55.7447,264.6809,764.6766,134.4681,77.0213,16.5957,611.0638,16.1702,6.8085,1679.1489,1620.0,4460.0,20.71
400.6453,0.5866,19.3577,1004.2528,1475.2896,648.1889,1060.5661,8.2123,4022.2907,308.8723,60.4194,46.3411,377.76800000000003,5.8660000000000005,27.57,40.4751,1706.4086,375.4216,3147.0890000000004,133.1574,1755.6827,203.5489,453.4389,21473.4595,28876.3338,21179.6862,6490.7171,6141.6337,2979.3225,909.8108,6038.4221,1140.3432,22865.5228,10542.4256,5850.1129,5864.203,1109.8402,488.6347,52.2071,144.3027,0.0,0.0,1.7598,15.8381,4.6928,0.0,7.6258,80.9503,13.4917,1.7598,0.5866,1754.7148,0.5866,0.5866,62.1792,320.8682,175.9789,105.0007,59.2462,147.2357,329.6671,458.7183,1870.6555,101.4812,335.5331,1652.0018,209.4149,97.9616,7.6258,126.7048,17.5979,67.4586,1216.0141,1748.6435,3438.6274,24.275
594.947,0.0,39.9348,1347.1883,2375.7131,981.2551,2462.9177,35.0448,3757.1312,471.6463,92.9095,31.7848,368.3782,13.8549,26.0799,131.2143,766.9112,1730.2363,9197.229,105.1345,1772.6161,414.8329,744.0913,51907.8647,66675.2975,43269.2828,18607.172,12981.2551,4755.5012,3444.1728,3927.4654,1266.5037,52923.3904,15566.1125,3842.5591,4908.7205,2394.458,342.2983,103.5045,367.5632,0.815,0.0,21.1899,70.0896,57.0497,0.0,0.815,57.0497,73.3496,2.445,0.0,4495.5175,0.815,0.815,259.1687,383.8631,191.524,132.0293,144.2543,367.5632,307.2535,713.1214,1574.5721,224.9389,491.4425,1937.2698,154.0342,143.4393,42.3798,281.9886,25.2649,41.5648,1308.8835,1909.5355,10283.6186,8.627
4793.2165,0.523,0.0,569.0377,538.1799,185.6695,100.4184,6.2762,1176.2552,7.7981,16.7364,2.0921,70.0837,0.523,13.5983,2.6151,57.5314,99.8954,60.6695,25.6276,997.9079,9.4142,237.4477,12574.2678,19482.6308,13832.7458,1043.41,752.0921,601.4644,31.3808,1299.6862,32.4268,2969.6653,1438.5146,217.0502,4470.1883,104.6025,283.4728,2.0921,5.7531,0.0,0.0,0.0,6.7992,3.1381,0.0,0.523,41.841,0.523,0.0,0.0,979.6025,0.0,0.0,47.0711,804.3933,597.8033,8.8912,3.1381,13.0753,1.046,28.7657,324.2678,0.523,94.1423,850.7008,856.6946,45.5021,1.569,10.9833,13.5983,6.2762,3328.4519,227.5105,1223.3264,17.794
54.9611,0.9009999999999999,3.6039999999999996,584.3,509.9673,282.4642,36.9411,2.7030000000000003,2899.4256,5.9556,5.406000000000001,0.4505,116.6798,3.1535,2.7030000000000003,2.2525,22559.7477,7.207999999999999,7.6585,278.8602,783.863,4.0545,70.7287,4215.0783,5565.1492,5798.2926,2084.469,1309.1564,295.5288,72.9812,572.587,26.5796,2929.1587,1130.3976,751.9225,5915.9815,199.1215,327.0639,0.0,31.9856,0.0,0.0,0.0,0.4505,23.4261,0.4505,0.4505,8.5595,4.0545,0.0,0.0,394.639,0.0,0.0,20.7231,187.4085,6.7575,9.01,2.7030000000000003,9.01,15.317,5.8565,268.9492,0.4505,84.6942,407.0819,2.7030000000000003,4.505,0.4505,12.1635,5.8565,4.505,498.7048,693.7718,6123.2121,10.294
1341.8212,0.0,11.5789,740.3854,1070.5483,524.357,328.8396,26.7968,2681.0024,76.1525,48.3004,21.1728,241.1711,9.5939,43.6688,13.8946,1308.0804,558.4319,921.6773,201.803,1618.7247,63.8491,282.5242,15119.4806,25143.6275,20343.429,4729.799,2405.4255,551.4846,481.6806,1151.6004,109.8338,8483.6655,2226.4329,669.5889999999999,4441.9816,998.4286,326.193,22.4961,142.5854,0.6616,0.3308,1.3233,8.2706,6.9473,0.6616,1.6541,43.6688,33.7441,2.3158,0.0,983.5878,0.0,1.3233,42.3455,336.7794,130.3449,100.9015,14.2255,58.2251,430.4028,227.6073,1052.353,52.6011,487.9663,512.6656,28.7817,35.3982,5.624,310.6443,9.5939,20.5111,1885.3693,1087.7512,947.4816,11.696
182.0209,0.3612,0.7223,716.5268,1275.5910000000001,389.6837,183.8267,11.918,4442.8995,56.1231,76.5644,9.39,193.93900000000002,8.3065,17.3353,6.1396,901.0758,118.0969,256.4184,179.4929,1803.235,40.0879,401.2406,9182.9482,15874.5139,14581.8476,7448.7728,3979.5407,2516.1503,306.2574,1041.9253,265.4472,14746.2226,4853.8154,603.8472,5362.3941,595.9018,560.5089,5.4173,18.4188,0.7223,0.0,0.3612,6.8619,7.5842,0.0,5.0561,71.5082,11.918,0.3612,0.0,1614.6339,0.3612,0.0,9.0288,246.3061,105.4566,65.7298,7.9454,22.3915,25.6418,179.854,1368.0461,18.4188,491.1676,285.8595,12.6403,22.7526,38.2822,242.6946,33.226,11.918,948.0256,1488.6711,6418.0432,25.465999999999998
120.6416,1.1772,17.9517,1125.9564,895.8211,484.9912,1209.535,48.8523,3249.2643,249.1377,95.9388,20.8946,256.6215,6.1801,45.3208,45.6151,1610.359,2843.143,4737.7869,159.5056,2296.9364,196.5862,430.8417,24697.1424,31404.8793,30181.6421,7050.0589,4488.4932,4114.7734,112.4191,3819.3055,146.2625,14779.5762,5423.6109,791.0536,3964.3908,2582.1071,358.7404,67.3926,413.4785,0.0,0.0,11.4773,12.0659,40.3178,0.2943,2.06,51.7952,64.1554,0.5886,0.0,2237.5191,0.8034,3.3167,164.8028,311.9482,233.3726,158.0341,59.74100000000001,154.7969,42.9665,482.3426,1188.3461,181.8717,458.505,756.5686,114.4791,63.5668,66.5097,127.1336,35.3149,32.0777,1735.7269,1507.3573,1293.9965,14.68
133.5162,1.0974,17.9241,307.63599999999997,586.374,546.1363,343.85,10.2423,2194.0558,113.7193,27.8006,23.7769,142.2954,0.7316,5.1212,11.3397,571.3763,99.8628,285.3224,1100.3201,1136.5341,61.45399999999999,206.6758,11832.8267,15577.7595,16125.5784,3149.1541,1815.8208,1126.2917,66.941,1592.684,13.9003,5636.9456,2545.6717,1127.7549,7904.8925,378.235,310.5624,4.3896,21.5821,0.0,0.0,0.3658,3.658,0.0,0.0,0.3658,14.6319,15.7293,0.0,0.0,680.3841,0.3658,0.0,15.3635,209.6022,126.9319,39.872,20.1189,64.3804,197.8967,143.02700000000002,1576.5889,23.4111,474.0741,408.3658,583.0818,24.5085,2.1948,87.0599,3.658,9.5107,1515.8665,1026.4289,1752.1719,29.389
79.5455,0.0,5.3662,270.5177,512.6263,629.7348,132.5758,15.7828,4023.9899,21.0859,31.5657,8.5227,143.9394,34.7222,32.8283,6.3131,389.5202,127.5253,54.6086,196.65400000000002,1359.214,17.0455,419.1919,13907.822,26626.1269,22466.9918,7225.6944,3800.1894,1992.7399,169.8232,3001.2626,101.6414,12596.2753,6208.911,3010.4167,4459.9116,1531.25,185.9217,0.6313,8.8384,0.0,0.0,0.3157,6.3131,1.2626,0.6313,0.3157,41.9823,14.5202,0.0,0.0,1292.0107,0.0,0.0,8.2071,410.6692,145.202,70.3914,8.8384,23.3586,55.5556,48.2955,1241.1616,9.4697,276.1995,367.6673,6.6288,25.2525,19.2551,260.7323,29.6717,12.9419,1447.2854,1315.3409,439.3939,25.596999999999998
102.3092,0.0,22.771,575.0481,568.6337,383.8999,1375.5613,34.9583,4110.9686,152.9859,107.1199,65.7473,269.0827,10.5837,30.789,40.0898,541.052,804.3618,3041.052,121.5523,1082.4246,161.6421,404.7466,16584.9038,20875.1283,22971.5683,9161.3214,5833.2264,4484.9262,566.3887,1537.8448,560.9365,18104.8749,5924.1597,1035.5997,4298.2681,1025.6575,319.4355,50.3528,130.2117,0.0,0.0,5.4522,10.9044,5.1315,0.0,2.5657,41.052,90.7633,2.8865,0.0,2130.4618,0.6414,0.6414,46.8249,529.5061,169.3393,103.9128,26.9403,102.6299,104.8749,394.1629,1386.7864,160.6799,536.8826,477.9474,206.8634,46.8249,38.4862,268.4413,27.5818,6.7351,727.3894,2484.2848,276.4593,17.312
