ADORA2A,ARG1,BTLA,BTN3A1,BTN3A2,C10orf54,CCL5,CD274,CD276,CD27,CD28,CD40LG,CD40,CD70,CD80,CTLA4,CX3CL1,CXCL10,CXCL9,EDNRB,ENTPD1,GZMA,HAVCR2,HLA.A,HLA.B,HLA.C,HLA.DPA1,HLA.DPB1,HLA.DQA1,HLA.DQA2,HLA.DQB1,HLA.DQB2,HLA.DRA,HLA.DRB1,HLA.DRB5,HMGB1,ICAM1,ICOSLG,ICOS,IDO1,IFNA1,IFNA2,IFNG,IL10,IL12A,IL13,IL1A,IL1B,IL2RA,IL2,IL4,ITGB2,KIR2DL1,KIR2DL3,LAG3,MICA,MICB,PDCD1LG2,PDCD1,PRF1,SELP,SLAMF7,TGFB1,TIGIT,TLR4,TNFRSF14,TNFRSF18,TNFRSF4,TNFRSF9,TNFSF4,TNFSF9,TNF,VEGFA,VEGFB,VTCN1,Virus_HPV
228.2747,0.3491,19.1989,1245.833,1155.4237,512.7847,378.3925,261.1048,1602.9322,63.1329,95.2963,19.1989,855.2230000000001,8.7268,54.1059,59.342,1840.9983,227.9431,282.04900000000004,227.9431,606.3356,80.6353,671.9609,26170.1475,42815.3801,20016.9788,10835.1514,5859.4991,4920.1501,1498.211,3273.9332,629.3743,31211.4495,14653.4392,10895.7256,3997.2074,24665.6776,135.0903,51.6624,67.7197,0.0,0.0,4.5379,12.2175,10.4721,2.0944,16.4063,142.4208,96.6926,0.3491,0.6981,6796.7083,1.0193,0.0279,23.0387,498.8219,129.1561,87.9658,17.4535,70.8613,51.6624,1241.6441,1480.4084,60.7383,372.4583,985.36,203.1591,46.0773,26.8784,43.6338,410.50699999999995,24.4349,20851.0341,1349.5069,9.0758,5.426
153.6667,0.9659,40.5665,720.5391,446.55400000000003,675.7872,310.3663,67.6109,2586.2784,262.0277,113.9727,25.1126,813.5846,5.4733,88.5381,36.0592,2118.4752,204.4425,488.7303,160.9784,1342.8718,55.0546,654.538,17612.9324,21914.9986,14102.9441,18329.0446,8707.2713,7283.9489,819.3799,10347.0452,7567.9148,37087.4829,13918.2536,2429.1635,5210.8696,14039.2449,233.0967,61.1718,271.4095,0.0,0.0,1.6098,20.6052,8.6928,0.322,22.8589,149.066,78.2355,0.0,0.0,4522.6774,0.0,0.6439,59.24,369.9283,119.7679,93.0455,53.1229,169.6712,165.1638,603.0249,2433.6709,100.1285,427.8805,741.6724,235.6723,51.1911,33.4835,35.4152,110.7531,221.5062,3566.9585,1105.9213,54.4107,1.114
118.7101,0.0,16.5796,1603.9128,2383.4867,752.0517,1417.8894,404.2112,2693.1941,193.3682,49.7389,12.2689,1340.96,186.355,48.0809,89.53,1629.1138,775.2632,3430.6557,203.5978,1029.9262,450.9658,806.1013,46666.3019,82767.0928,48246.7512,12697.9491,5573.7909,991.7931,1898.6985,3399.1544,383.3209,33251.7616,3893.2670000000003,2413.5422,4027.1906,5255.4091,160.4908,88.5352,1662.2731,0.0,0.0,37.4699,34.8172,28.8485,1.6580000000000001,12.2689,85.2193,400.2321,1.9896,0.0,3830.0854,0.0,0.6632,201.9398,292.133,255.9894,127.6631,293.1277,591.8926,30.8381,314.3497,2452.7895,129.6527,677.775,832.4397,46.0914,52.3916,48.0809,131.9738,117.0521,16.9112,9909.3095,1165.5475,57.0339,1.681
203.1525,0.7179,19.3836,1231.9378,1656.4633,1672.9753,854.0765,117.259,3714.9576,629.5829,149.8044,21.0588,646.3605,9.3329,101.7043,88.0639,496.0775,1649.2842,3366.2915,127.0705,1701.2132,155.5477,1197.7173,33100.2583,50619.9497,45295.0686,17486.1936,7973.8536,9882.0649,688.9567,12579.9799,438.1659,47189.8214,26458.4266,11177.033000000001,4575.4954,14859.5913,273.5246,41.1603,249.5942,0.0,0.0,8.6149,41.8782,35.1777,0.2393,82.0813,645.164,358.7169,0.7179,0.2393,10463.8636,0.0,5.9826,200.2976,828.2317,499.4278,375.9468,83.7565,180.6746,21.0588,2559.8365,1943.6283,133.2924,931.3718,1302.1735,134.4889,169.4273,55.9972,241.9365,37.8101,46.6643,11500.0003,2029.0599,753.8081,3.306
185.0947,0.0,15.2718,612.0953,555.8949,766.0354,370.1894,32.3763,1659.1326,101.5761,105.0703,31.7654,369.5785,16.4936,27.4893,32.9872,623.7019,126.4508,237.0189,1070.2505,775.7972,65.9743,463.653,13071.2645,15716.3409,13336.8051,7162.4924,4776.4203,1185.7056,708.0024,621.2584,427.6115,19560.171000000002,4622.2724,751.9853,3216.8601,5818.5706,198.5339,15.8827,56.2004,0.0,0.0,2.4435,15.8827,29.9328,0.0,6.1087,136.8357,77.5809,0.6109,0.6109,4293.2193,1.2217,1.2217,25.6567,189.9817,62.3091,68.4178,21.9914,157.6054,120.95299999999999,445.9377,1250.4582,28.1002,586.4386,1228.1185,42.7611,94.0745,9.1631,25.0458,83.0788,75.1374,3716.5547,1365.9133,15.8827,2.1390000000000002
231.5436,36.5772,39.2617,1320.1342,1713.4228,817.4497,1982.5503,103.6913,1977.5168,248.3624,120.1342,40.2685,803.0201,17.1141,76.5101,131.5436,471.4765,1061.745,3089.9329,82.5503,1196.3054,426.5101,762.0805,59492.6007,68799.3423,39563.4094,19235.9832,12170.056999999999,1815.4362,3194.2953,5426.5101,1258.7248,47353.3557,5594.4966,3369.5839,3483.8926,8582.2148,202.6846,155.3691,1381.2081,0.0,0.0,33.2215,32.5503,12.7517,17.4497,5.3691,75.8389,324.4966,1.3423,0.0,5125.5872,4.5369,3.1812,258.7248,365.7718,215.7718,180.2013,126.5101,488.255,194.9664,814.7651,1146.3087,149.3289,463.0872,1268.1141,126.8456,175.8389,104.3624,84.5638,149.3289,80.8725,3177.5168,1414.4295,26.5101,1.8090000000000002
95.8007,0.6387,9.5801,372.3455,420.8846,618.2341,161.5839,54.9258,1297.7806,200.9708,43.4297,3.832,196.7108,2.5547,17.2441,58.7578,335.3026,176.2734,461.1209,55.5644,602.906,24.2695,323.1678,11400.8494,12886.8657,18635.408,2224.4931,1398.0521,1090.851,73.4472,1447.8684,30.6562,7306.4027,3969.8419,1378.8919,4876.8961,2254.5106,473.2556,15.3281,83.666,0.0,0.0,1.2773,10.8574,7.0254,0.0,5.747999999999999,114.9609,225.4511,0.0,0.0,2366.1249,30.6562,1.2773,37.6816,94.5234,308.4784,51.7324,18.5215,109.2128,15.9668,387.6736,887.1148,30.6562,344.8826,784.5952,314.8651,86.8593,23.6308,56.2031,19.1601,10.2187,3206.1312,1520.6770000000001,14.0508,1.307
68.7206,0.2684,7.2479,769.3485,366.9572,608.8215,2164.1617,59.5936,1967.6637,63.7491,31.139,7.7848,428.4299,9.127,50.4667,60.6674,130.1933,875.1138,1064.3638,124.5561,621.1697,446.1469,507.8881,46181.2881,29260.4215,26430.9049,6574.9175,2811.3486,4249.6705,138.7834,2318.2461,36.5078,20306.1287,6448.3133,1075.3698,3111.4857,8894.2159,125.6298,47.7823,164.822,0.0,0.0,6.4426,9.9323,3.4897,0.0,567.7502,48.3192,140.6625,0.0,0.0,2435.7718,0.0,3.4897,91.538,136.6359,224.9526,102.8124,44.8294,398.0962,25.7702,313.8061,1431.8579,54.4933,210.4568,752.3133,485.876,67.11,50.7351,46.4401,40.5344,7.2479,6916.0830000000005,1456.2859,40.8028,2.565
158.4458,0.7582,12.8886,1235.7847,852.1607,590.5989,218.3472,23.5027,2106.141,77.8923,67.4754,29.5679,138.7415,4.5489,6.0652,30.326,250.9477,311.5997,471.5694,505.6861,849.1281,54.5868,121.304,46243.26,55838.7111,38094.5716,3824.1092,2435.1782,1437.4526,338.8931,2355.5724,137.9833,16309.3252,4653.859,1582.2441,3641.395,2054.5868,114.4807,25.7771,61.4102,0.0,0.0,6.8234,3.0326,18.1956,0.0,1.5163,40.9401,49.2798,0.0,0.0,1076.5732,0.0,2.2745,31.8423,407.1266,118.2714,42.4564,18.9538,96.2851,90.978,188.7794,718.7263,48.5216,161.486,636.6793,28.8097,72.7824,20.4701,37.9075,31.8423,21.9864,6396.5125,1512.5095,28.0516,3.5469999999999997
88.5632,21.8664,6.6262,1282.1645,1471.6731,815.6819,1871.4522,35.3396,5843.4014,50.0696,70.2374,9.7184,1366.7587,50.3589,40.8614,44.8371,322.032,2039.5362,1257.6477,281.1706,968.5213,83.4898,466.9244,66633.429,80286.7123,67875.1894,15785.1309,6246.233,1314.6328,316.5102,1811.8167,222.4186,34948.6472,12199.037,2711.2424,3200.6626,8023.6334,299.0613,22.7499,1000.1104,0.0,0.0,0.8835,30.2595,11.4854,0.0,47.9293,188.4042,261.0712,0.2209,0.0,1265.82,0.3468,1.4202,103.5892,451.905,680.7289,122.8051,28.0508,197.46,14.3567,226.83599999999998,745.4445,34.8978,722.0319999999999,1870.4981,72.0044,66.4826,9.7184,44.6162,56.3225,12.5897,1569.5196,4423.8542,106.6814,1.226
