AS,LOH_n_seg,LOH_frac_altered,MutationsSilent,MutationsNonSilent,CNV_segs,CNV_frac,HRD,purity,Treg_cluster
7,52,0.3550889866082236,1.0894985922,3.8452891491,271.0,0.8913239842886681,47,0.88,0
6,38,0.3334036366467081,1.032024456,2.2114809772,270.0,0.9999992639363628,51,0.77,-1
7,48,0.35725092475804643,0.46628263630000005,1.8962160542,227.0,0.9474634406072908,46,0.92,-1
19,79,0.3229263670161411,0.5949516483,2.2948135005,354.0,0.9319183025896984,41,0.82,0
12,34,0.23018791660695925,1.6979117541,4.9365212109,238.0,0.7891168431545038,30,0.79,-1
23,52,0.2880894939083865,1.1476746438,2.5822679486,249.0,0.6827140138454747,30,0.61,1
19,42,0.2922798654592808,0.4819463074,1.4137091683,235.0,0.6982154396518538,34,0.54,-1
21,36,0.26503744054840506,0.0,0.0,277.0,0.8384044526592664,46,0.94,0
5,125,0.2356601880737656,0.3346896856,1.6399794594,699.0,0.6381041882550945,40,0.76,1
27,31,0.3371298235034022,0.39883089369999997,1.7947390216999999,178.0,0.7860923526154946,32,0.76,-1
2,56,0.2637013689867672,0.2907940046,0.3554148945,365.0,0.4277729471167631,65,0.84,-1
16,127,0.4400615307184947,0.8113820676000001,2.4653532055,396.0,0.7922004110104823,78,0.71,0
12,22,0.1890655395642254,0.6451555046999999,2.4838486932,187.0,0.6138937836452181,58,0.52,1
17,70,0.3819041541910832,0.9135527004999999,3.258337965,335.0,0.8321399286623241,69,0.8,-1
8,71,0.3747174826396261,1.0737557453,3.4897061721,239.0,0.6125192297975981,64,0.69,1
16,58,0.3135070888079489,0.5154932794,2.0297547876,310.0,0.8400545149936121,72,0.86,0
10,44,0.3031171295787249,0.8966405926000001,3.2279061332,213.0,0.95269059982341,33,0.89,-1
21,60,0.31728482140349423,0.0,0.0,415.0,0.7546011601948871,41,0.89,-1
10,88,0.4594618086041346,0.3247696766,1.5913714153,443.0,0.7508409318543071,74,0.69,-1
25,36,0.3211944876263315,0.3525353913,1.9549689878999998,266.0,0.7555971683158199,37,0.94,0
27,19,0.1883986977357648,0.3304902087,1.2393382826000001,256.0,0.9220256664973931,23,0.92,-1
9,40,0.2964671596865171,0.19423187030000003,1.0682752864,324.0,0.8686627078440232,30,0.88,-1
15,35,0.4017775492144817,0.1876565173,0.5361614779,241.0,0.8592032432860635,27,0.97,-1
9,34,0.2666276522046616,0.8127790935,1.6836138365,174.0,0.9316708437135574,14,0.8,0
24,77,0.29378139173350953,0.45844382899999997,2.1203027093,298.0,0.7024798631874046,23,0.71,-1
5,54,0.36263617326474895,0.7526235298,1.99734706,299.0,0.9399373619912508,71,0.92,0
15,23,0.11985537681839885,0.9164441998,1.7218042541999998,169.0,0.6515546818586924,26,0.86,-1
29,30,0.29006161436545325,0.6070927004,2.0944698165,166.0,0.8897081868152614,26,0.94,0
11,79,0.3283268973706165,0.3897107022,1.1691321065,404.0,0.5766472607479202,50,0.89,0
24,26,0.286422044583836,0.3860296465,1.5441185859,156.0,0.6770853062891447,13,0.94,-1
15,65,0.3758816110250718,0.8502657211,3.0740376070999997,323.0,0.9713848957385636,45,0.9,0
2,10,0.09605566403023397,0.17158501280000002,0.31457252350000003,73.0,0.11868560341564302,12,0.91,-1
25,5,0.1234549061358763,0.23638557940000002,0.5614157511,104.0,0.6556481344704953,2,0.68,-1
17,103,0.16086528990421184,0.20456582739999998,1.198171275,1099.0,0.6029839702422931,32,0.87,0
24,33,0.3064239282106841,0.8142721106,3.3823610747000004,332.0,0.8921166049622313,41,0.95,0
6,70,0.39186317348013866,0.5180276676,1.5540830027,345.0,0.9552415708423804,68,0.95,-1
