AS,LOH_n_seg,LOH_frac_altered,MutationsSilent,MutationsNonSilent,CNV_segs,CNV_frac,HRD,purity,Neoantigen_num,numberOfBindingExpressedPMHC
15,20,0.14895066675710586,0.47189158924999997,1.4233924138499998,117.0,0.7011208341623989,18,0.49,5.0,63.0
4,5,0.09746982131876528,0.3299797854,1.2099258799,99.0,0.14798835752670542,7,0.9,5.0,63.0
11,37,0.15930136985329715,0.47189158924999997,1.4233924138499998,165.0,0.23905458354439835,13,0.6,5.0,63.0
5,18,0.1988941860858697,0.47189158924999997,1.4233924138499998,161.0,0.9036962817599556,18,0.93,5.0,63.0
6,46,0.08925849667094363,0.47189158924999997,1.4233924138499998,301.0,0.1600481916499984,6,0.9,5.0,63.0
1,29,0.14592959235231326,0.47189158924999997,1.4233924138499998,163.0,0.5631650046861435,29,0.92,5.0,63.0
9,14,0.18213884454197168,0.47189158924999997,1.4233924138499998,107.0,0.9385648613256536,12,0.89,5.0,63.0
2,30,0.12790094105522776,0.47189158924999997,1.4233924138499998,231.0,0.2365193085486193,31,0.95,5.0,63.0
7,34,0.10253145070844437,0.47189158924999997,1.4233924138499998,544.0,0.18003710660214747,16,0.84,5.0,63.0
9,18,0.1382791214403805,0.47189158924999997,1.4233924138499998,431.0,0.2337024131392257,5,0.83,5.0,63.0
8,62,0.07644825420391795,0.47189158924999997,1.4233924138499998,435.0,0.17464428121039635,6,0.87,5.0,63.0
8,16,0.116657202557624,0.47189158924999997,1.4233924138499998,423.0,0.1883284646434072,6,0.78,5.0,63.0
6,22,0.09334977980574544,0.47189158924999997,1.4233924138499998,174.0,0.637978024564782,23,0.79,5.0,63.0
13,21,0.2813565914445052,0.47189158924999997,1.4233924138499998,600.0,0.3629930091425119,36,0.2,5.0,63.0
1,21,0.14399008556937795,0.47189158924999997,1.4233924138499998,350.0,0.4691065823060396,26,0.87,5.0,63.0
6,9,0.1124978635356473,0.47189158924999997,1.4233924138499998,99.0,0.16179577887386162,8,0.75,5.0,63.0
4,13,0.11687049145348324,0.47189158924999997,1.4233924138499998,133.0,0.2080862154431749,19,0.93,5.0,63.0
7,4,0.11598688457885313,0.33414606010000003,0.6961376252,41.0,0.16427307175601893,0,0.45,5.0,63.0
8,26,0.1691315076110073,0.47189158924999997,1.4233924138499998,210.0,0.2664274586736778,11,0.52,5.0,63.0
9,12,0.0709683689294358,0.47189158924999997,1.4233924138499998,129.0,0.18853446676209612,4,0.83,5.0,63.0
7,16,0.09523164428419192,0.47189158924999997,1.4233924138499998,139.0,0.17952172229536226,8,0.78,5.0,63.0
7,11,0.1897781435346607,0.47189158924999997,1.4233924138499998,466.0,0.3735909461619813,2,0.61,5.0,63.0
7,16,0.07483728653344016,0.47189158924999997,1.4233924138499998,131.0,0.17468654657600194,10,0.94,5.0,63.0
4,9,0.0516180007000393,0.47189158924999997,1.4233924138499998,109.0,0.10376299011549177,0,0.89,5.0,63.0
1,6,0.027295531472730297,0.4415680091,1.6282820336000001,68.0,0.09774461386854784,7,0.69,20.0,105.0
3,25,0.13616943366014744,0.47189158924999997,1.4233924138499998,646.0,0.6570940908811116,6,0.88,5.0,63.0
15,26,0.4232816546525066,0.47189158924999997,1.4233924138499998,446.0,0.6013574154533156,12,0.75,5.0,63.0
4,8,0.08035960292343608,0.47189158924999997,1.4233924138499998,77.0,0.32285256606128376,4,0.52,5.0,63.0
11,6,0.08694885531493579,0.47189158924999997,1.4233924138499998,93.0,0.3692859510764215,12,0.53,5.0,63.0
22,13,0.20004536169053647,0.4158495108,1.3029951339,63.0,0.5588708688509828,3,0.55,5.0,63.0
